,data,timestamp
103,"{'avgHighPrice': 2180, 'highPriceVolume': 6484, 'avgLowPrice': 2101, 'lowPriceVolume': 2753}",1651579200
10302,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 4893, 'lowPriceVolume': 1}",1651579200
10304,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 2924, 'lowPriceVolume': 1}",1651579200
10306,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 6166, 'lowPriceVolume': 4}",1651579200
10310,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 6666, 'lowPriceVolume': 4}",1651579200
10318,"{'avgHighPrice': 19427, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10322,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 47805, 'lowPriceVolume': 1}",1651579200
10326,"{'avgHighPrice': 33, 'highPriceVolume': 78, 'avgLowPrice': 32, 'lowPriceVolume': 67}",1651579200
10327,"{'avgHighPrice': 20, 'highPriceVolume': 23, 'avgLowPrice': 20, 'lowPriceVolume': 114}",1651579200
1033,"{'avgHighPrice': 3735, 'highPriceVolume': 24, 'avgLowPrice': 3308, 'lowPriceVolume': 24}",1651579200
1035,"{'avgHighPrice': 1418, 'highPriceVolume': 35, 'avgLowPrice': 1035, 'lowPriceVolume': 15}",1651579200
10354,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 61629, 'lowPriceVolume': 1}",1651579200
10364,"{'avgHighPrice': 19401, 'highPriceVolume': 3, 'avgLowPrice': 17751, 'lowPriceVolume': 2}",1651579200
10366,"{'avgHighPrice': 42109, 'highPriceVolume': 1, 'avgLowPrice': 36286, 'lowPriceVolume': 1}",1651579200
10368,"{'avgHighPrice': 127454, 'highPriceVolume': 1, 'avgLowPrice': 121000, 'lowPriceVolume': 2}",1651579200
10370,"{'avgHighPrice': 596233, 'highPriceVolume': 8, 'avgLowPrice': 579419, 'lowPriceVolume': 11}",1651579200
10372,"{'avgHighPrice': 766257, 'highPriceVolume': 5, 'avgLowPrice': 766434, 'lowPriceVolume': 5}",1651579200
10374,"{'avgHighPrice': 90482, 'highPriceVolume': 2, 'avgLowPrice': 85300, 'lowPriceVolume': 2}",1651579200
10376,"{'avgHighPrice': 18955, 'highPriceVolume': 3, 'avgLowPrice': 13810, 'lowPriceVolume': 1}",1651579200
10378,"{'avgHighPrice': 214255, 'highPriceVolume': 9, 'avgLowPrice': 212927, 'lowPriceVolume': 5}",1651579200
1038,"{'avgHighPrice': 5000, 'highPriceVolume': 7, 'avgLowPrice': 3066, 'lowPriceVolume': 1}",1651579200
10380,"{'avgHighPrice': 494153, 'highPriceVolume': 8, 'avgLowPrice': 470000, 'lowPriceVolume': 2}",1651579200
10382,"{'avgHighPrice': 96650, 'highPriceVolume': 4, 'avgLowPrice': 89112, 'lowPriceVolume': 7}",1651579200
10384,"{'avgHighPrice': 80000, 'highPriceVolume': 3, 'avgLowPrice': 74000, 'lowPriceVolume': 1}",1651579200
10386,"{'avgHighPrice': 422277, 'highPriceVolume': 2, 'avgLowPrice': 410000, 'lowPriceVolume': 2}",1651579200
10388,"{'avgHighPrice': 693032, 'highPriceVolume': 2, 'avgLowPrice': 650041, 'lowPriceVolume': 7}",1651579200
10390,"{'avgHighPrice': 90767, 'highPriceVolume': 1, 'avgLowPrice': 82128, 'lowPriceVolume': 3}",1651579200
10394,"{'avgHighPrice': 3930755, 'highPriceVolume': 4, 'avgLowPrice': 3900000, 'lowPriceVolume': 1}",1651579200
1040,"{'avgHighPrice': 4998, 'highPriceVolume': 10, 'avgLowPrice': 2534, 'lowPriceVolume': 2}",1651579200
10400,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 6000, 'lowPriceVolume': 1}",1651579200
10402,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 1250, 'lowPriceVolume': 1}",1651579200
10404,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 10037, 'lowPriceVolume': 1}",1651579200
10406,"{'avgHighPrice': 3000, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10410,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 5728, 'lowPriceVolume': 1}",1651579200
10414,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 13234, 'lowPriceVolume': 1}",1651579200
10416,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 1525, 'lowPriceVolume': 1}",1651579200
1042,"{'avgHighPrice': 9218, 'highPriceVolume': 5, 'avgLowPrice': 8007, 'lowPriceVolume': 1}",1651579200
